application_number,loan_assessment_date,group,default,credit_score,,,,,
3,27/01/2013,D,1,3,,,,,
4,14/04/2013,D,1,4,,,,,
5,13/01/2013,D,0,8,,,,,
8,19/02/2014,A,1,6,,,,,
10,16/03/2014,A,0,1,,,,,
13,04/11/2013,A,1,3,,,,,
14,26/11/2013,A,0,4,,,,,
15,03/10/2013,D,1,6,,,,,
16,01/01/2013,A,0,1,,,,,
18,09/10/2013,D,0,4,,,,,
19,30/10/2013,A,1,1,,,,,
20,03/06/2014,D,1,3,,,,,
22,22/12/2013,D,0,10,,,,,
23,17/11/2013,A,1,5,,,,,
24,15/11/2014,A,1,3,,,,,
25,02/05/2014,D,1,6,,,,,
26,18/04/2013,D,1,9,,,,,
27,16/10/2014,A,1,2,,,,,
28,22/11/2013,A,0,4,,,,,
32,25/01/2013,A,0,1,,,,,
37,06/05/2013,D,1,3,,,,,
38,18/03/2013,A,0,3,,,,,
39,20/02/2013,D,1,7,,,,,
40,24/10/2014,D,1,10,,,,,
41,28/01/2013,A,1,9,,,,,
42,15/11/2014,D,1,8,,,,,
45,30/12/2013,A,0,1,,,,,
51,09/04/2013,A,0,8,,,,,
52,03/12/2013,A,1,5,,,,,
53,15/09/2013,A,1,2,,,,,
54,11/01/2013,D,1,9,,,,,
55,16/01/2013,A,0,2,,,,,
56,24/08/2013,D,0,8,,,,,
57,28/02/2013,D,0,1,,,,,
59,06/04/2014,A,1,2,,,,,
61,14/02/2013,D,0,2,,,,,
64,03/03/2014,D,1,7,,,,,
66,28/03/2014,A,1,10,,,,,
67,19/05/2014,D,1,8,,,,,
68,02/08/2013,A,0,1,,,,,
69,26/12/2014,D,1,3,,,,,
70,24/04/2013,D,0,4,,,,,
71,03/06/2013,A,1,2,,,,,
75,02/05/2013,A,1,6,,,,,
79,18/03/2013,D,1,5,,,,,
80,18/09/2013,D,1,4,,,,,
84,27/08/2013,D,0,1,,,,,
85,28/05/2013,A,0,5,,,,,
87,11/02/2013,D,0,3,,,,,
88,10/06/2013,D,1,7,,,,,
90,30/08/2014,D,1,10,,,,,
91,04/02/2013,A,1,2,,,,,
93,16/11/2013,D,1,4,,,,,
95,14/03/2013,D,1,10,,,,,
96,26/01/2013,D,1,9,,,,,
98,30/04/2014,D,1,6,,,,,
100,28/09/2013,D,0,1,,,,,
105,07/03/2013,D,0,4,,,,,
107,07/01/2013,D,1,6,,,,,
108,03/12/2014,A,1,6,,,,,
111,17/07/2013,D,0,2,,,,,
113,25/08/2013,D,1,3,,,,,
114,19/02/2013,A,0,8,,,,,
115,08/11/2013,D,1,4,,,,,
116,21/07/2014,A,1,7,,,,,
